课程名称	学时	学分
移动机器人自主定位导航算法实践	32	2.0
预科数学（2）	96	6
大学物理(A类）（3）	32	2
电工学实验	32	2
网球	32	1.0
排球	32	1.0
设计表达：绘画基础	48	3.0
英语读写（3）	64	4.0
计算机基础（2）	64	4
习近平新时代中国特色社会主义思想概论	48	3
毛泽东思想和中国特色社会主义理论体系概论	48	3
思想道德与法治	48	3
中国近现代史纲要	48	3
高等数学（N）II	96	6
企业责任与伦理	32	2
积极心理学	48	3
概率统计	48	3
室内高尔夫	32	1.0
乒乓球	32	1.0
数学分析II	64	4
数学分析（荣誉）II	64	4
知己悦己——大学生的适应与情绪调节	32	2.0
激光射击	32	1.0
形体舞蹈	32	1.0
材料与生态	32	2.0
税收经济学	32	2.0
手球	32	1.0
篮球	32	1.0
中国文化概要	32	2
数据科学引论——Python之道	32	2.0
棒球	32	1.0
杨氏太极拳	32	1.0
医+X创新实践项目1	32	2.0
心理探秘与体验之旅	32	2.0
商业秘密保护法	32	2.0
互联网与新媒体实务	32	2.0
脑机接口理论与实训	32	2.0
心灵的破冰者：萨提亚模式下的人际联结与成长	32	2.0
“我们”的力量：积极关系与自我成长之旅	32	2.0
大学生心理健康	32	2.0
心理探索之旅：与内心同频，与他人共振	32	2.0
幸福：社会科学研究视角	32	2.0
羽毛球	32	1.0
乐理基础与歌曲写作	32	2.0
数据采集和可视化	32	2
二氧化碳捕集与封存	32	2.0
文物与古代社会	32	2.0
真诚信任的人际交往与恋爱关系探索之旅	32	2.0
快速心理疏导的方法与艺术	32	2.0
中外文化交流两千年	32	2.0
遇见自我，青春飞扬——自我探索与自我认识	32	2.0
定向越野	32	1.0
攀树	32	1.0
创业机会识别	32	2.0
数据计算思维（冬季项目）	48	2
太极拳	32	1.0
游泳基础	32	1.0
钢琴音乐	32	2.0
先秦诸子与中国文化	48	3.0
法语视听说1	48	3.0
学业规划和身心调节	32	2.0
消费者行为学（A）	32	2.0
宗教与社会	32	2.0
陆地冰壶	32	1.0
青铜器与中国古代文明	48	3.0
擒拿格斗	32	1.0
瑜伽	32	1.0
保健班	32	1.0
创新创业导论	32	2
经济学原理	64	4
形势与政策	8	0.5
新生自我探索与赋能心理成长	32	2.0
创新结构设计实践	32	2.0
情绪心理学	32	2.0
对话压力与情绪：从情绪解码到韧性建构成长课	32	2.0
飞盘	32	1.0
匹克球	32	1.0
攀岩	32	1.0
龙舟	32	1.0
生活中的核	32	2.0
网络知识产权法	32	2.0
知识产权国际保护	32	2.0
动态测试与分析技术	48	3
毕业设计（论文）（电科）	128	4
实变函数	48	3
射箭	32	1.0
海洋光学基础	48	3
环境仪器分析实验	32	2
流体力学	48	3
工程、社会与职业伦理	32	2
图论与组合	48	3
工程数值分析	45	3
导引养生	32	1.0
新媒体导论	48	3.0
运营管理	32	2
数理逻辑	48	3
数字信号与图像处理	48	3
随机过程	48	3
电子政务	48	3
博弈论	32	2
政府治理概论	32	2
击剑	32	1.0
传播学导论	48	3.0
离散数学	48	3.0
有机化学（1）	64	4.0
高等数学II	64	4
设计与制造（A类）	48	3
生物学基础	32	2
电路理论	64	4
能源实验II	48	3
绝对零度的奇迹：超流与超导	32	2.0
自行车	32	1.0
射艺	32	1.0
足球	32	1.0
高等代数（荣誉）II	48	3
武术	32	1.0
大学物理（A类）（1）	64	4
大学物理实验（1）	24	1
毕业设计（论文）（工程力学）	128	4
信息系统概论	32	2
全球化下的国际经济分析	32	2
经济思想史	32	2
高级英语演讲	32	2
研究选题与论文写作	32	2
人工智能基础（B）	32	2
化工原理实验(下)	64	2
机械振动学	48	3
机器学习	48	3
电气与电子测量技术	32	2
电机控制技术	32	2
环境监测	48	3
人际互动与自我认识	32	2.0
自我认识与策略性成长	32	2.0
战略管理	32	2
企业经营决策模拟	32	2
程序设计	48	3
新媒体创意、创新与创业	32	2.0
摄影基础（B类）	48	3.0
环境数学模型	32	2
环境生物化学	32	2
程序设计与计算物理基础	48	3
宏观经济学	48	3
环境监测实验	32	1
公共政策分析	48	3
中国政府与政治	48	3
体育科学研究方法	32	2
就业规划与指导（讲座）	32	2
体育与健康课程标准解读	48	3
材料力学	48	3
绿色可持续建设	32	2
设计与制造（J类）（1）	56	4
工程学导论（荣誉）	48	3
生物医学导论（荣誉）	32	2
基础物理实验（荣誉）（1）	24	1
妇产科学	32	2
房地产法	32	2
法经济学	32	2
刑事诉讼法	48	3
发育生物学	32	2
生化分离工程	32	2
计量经济学	48	3
国际贸易概论	32	2.0
梵语（2）	32	2.0
城市防灾减灾与安全	32	2.0
材料力学（B类）	64	4
工程力学实验	16	1
教育领导力	32	2.0
热点议题英语听说与思辨	32	2
连续介质力学	32	2
法语写作（2）	32	2
电工与电子技术	32	2
网络安全管理技术	32	2
新时代社会认知实践	32	2
解锁内心力量：情绪与自我管理体验	32	2.0
幸福课--积极心理学的PERMA模型	32	2.0
英语写作	56	4
报表分析与估值	32	2
海洋环境化学	48	3
医学物理学	32	2
生物医学统计基础	32	2
科技考古	32	2
模型制作	32	2
海洋生物动力学	48	3
人工智能基本原理与工程实践III（形式语言、自然语言、语音技术）	80	5
数字逻辑设计	32	2
空气动力学（1）	48	3
医学超声基础	32	2
通用及图形处理器架构与系统	48	3
中医药养生与保健	32	2.0
数字电子技术	32	2
人机工程学	32	2
现代农业理论与实践	32	2
植物生物技术概论	32	2
“UTJS”体验式教育:大学生演讲与沟通训练	32	2.0
德语视听说（1）	32	2.0
中国近现代工业发展与企业文化	32	2.0
解剖与生理（2）	32	2
集成电路工艺技术课程设计	32	2
材料微观结构与化学表征	64	4
动物检验检疫	32	1
电路实验	32	2
开源硬件创客实战	32	2.0
轮式智能机器人设计与控制实践	32	2.0
医学生物信息学	32	2
医学仪器原理	48	3
生物传热学	48	3
生理与病理基础	64	4
食品保藏原理	32	2
光电子学基础	48	3
工程实践与科技创新Ⅳ-A	64	2
中国当代文学专题	32	2
食品安全学	32	2
工程实践与科技创新I	32	2
食品经济与市场分析	32	2
草坪学	32	2
土木工程制图基础	32	2
系统模型、分析与控制(A类)	64	4
智能控制与实践	32	2
医用有机化学(C类)	60	3.5
分子细胞与组织	68	4.0
人体构造	60	3.5
中级综合法语（2）	64	4
绘画基础	32	2.0
创意写作（2）	64	4
新能源材料概论	32	2.0
大学生心理健康教育	32	2
中级实用法语	32	2
人工智能基础	32	2
生物学实验（2）	64	4
线性代数	60	4
全球视野中的中国历史	45	3
量子光学导论	48	3
面向工程师的技术哲学	48	3
教育基本理论	48	3.0
STEAM教育导读	32	2.0
英语口语	32	2
