课程名称	学时	学分
算法设计与分析	48	3
语言数据科学	32	2
神经网络与深度学习	48	3
气味科学中的健康密码	32	2
脑与日常行为	32	2
实验语音学	32	2
电影音乐概论	32	2
《论语》导读	32	2
女子街舞	32	1
消费者行为学（A）	32	2
物理化学（3）	64	4
工程可持续发展	32	2
定价策略	32	2
杨式太极拳	32	1
心理与精神健康	64	4
海洋世界探秘	32	2
生命科学导论	32	2
橄榄球	32	1
保健班	32	1
形体舞蹈	32	1
乒乓球	32	1
排球	32	1
手球	32	1
篮球	32	1
网球	32	1
足球	32	1
太极拳	32	1
城市经济学导论	32	2
媒体创意经济	32	2
游泳基础	32	1
导引养生	32	1
羽毛球	32	1
武术	32	1
瑜伽	32	1
棒球	32	1
拉丁舞	32	1
定向越野	32	1
擒拿格斗	32	1
人工智能技术与前沿应用	32	2
影视创意策划	32	2
读书报告（三）（专业导师制活动）	16	1
工程力学：静力学与动力学	64	4
适航管理与符合性验证	32	2
实验室实践（1）	48	3
动物学	48	2.5
现代客户关系管理	32	2
健身健美	32	1
日语语言学专题研讨（1）	32	2
大学英语（4）	48	3
日语口语（2）	32	2
语义学	32	2
法语（1）	256	16
电工学	64	4
环境与健康	32	2
绿色船舶动力系统	48	3
Unreal程序开发与实践	32	2
中国现代小说选读	32	2
电路设计导论	56	4
生命伦理学	32	2
汉字文化	48	3
现代光学基础	48	3
社会科学前沿研究方法导论	48	3
食品风味科学与感官评定	48	2.5
航空航天工程科创	32	2
量子计算	32	2
无人驾驶算法开发	48	3
护理伦理学	17	1
综合俄语2	48	3
飞越未来：空气动力与人类飞行	32	2
积极心理学	48	3
与风景的对话:中外园林艺术欣赏	32	2
水声学原理	48	3
人工智能导论	32	2
创意写作（高阶）	32	2
大学英语N（1）	32	2
化工过程控制	32	2
绝对零度的奇迹：超流与超导	32	2
儒家思想与中国文化	32	2
法语 1	64	4
程序设计基础（荣誉）	80	4
日本文学名著选读（2）	32	2
经济与社会伦理	32	2
《1844年经济学哲学手稿》导读	32	2
数列与级数	96	6
线性代数与双重线性代数Ⅰ	96	6
电磁兼容技术	32	2
仪器分析实验（A类）	48	1.5
交响音乐鉴赏	32	2
世界民族音乐鉴赏	32	2
美学	32	2
爱的艺术与人生	32	2
工程实践	96	3
计算机科学导论	48	3
德语听说（1）	32	2
园林花卉学2	32	2
AI与数字传播	32	2
歌唱的呼吸与发声	32	2
非洲鼓演奏体验	32	2
生物工程单元操作实验（2）	32	1
广告与新媒体	32	2
证券投资分析	32	2
本科生科研项目	48	3
经济与法律	32	2
中俄关系的演变与展望	48	3
绿色船舶动力系统-Ⅰ	48	3
预科数学（1）	96	6
新兴风险的感知与沟通	32	2
中级汉语（2）	64	4
宇宙与人类	32	2
形象思维与工程语言	32	2
机器的征途：空天科技	32	2
中国传统文化中的数学算法	32	2
数学史	48	3
人工智能海洋学	48	3
智能材料结构系统与应用	32	2
机械原理与设计	32	2
孙子兵法	32	2
当代中国外交	32	2
政治经济学经典导读	48	3
航空航天技术历史与展望	32	2
多元统计	48	3
奇妙的低温世界	32	2
组织文化研究	32	2
向载人航天学工程智慧	32	2
税收经济学	32	2
治理之善：公共行政热点解析	32	2
“UTJS”体验式教育:大学生演讲与沟通训练	32	2
生物医学科学导论-1	16	1
西方风景园林艺术史	32	2
传记经典导读	32	2
大众传媒与文化	32	2
市场调研：方法与实践	32	2
中国人文地理	32	2
德语(上)	64	4
古代经典诵读（1）	16	1
东亚文学经典	32	2
贝叶斯分析	60	4
开源硬件PCB设计-基于PADS	32	2
媒介社会学	32	2
舞龙	32	1
生物学导论讨论课（1）	64	2
且共从容：唐宋词讲读	32	2
植物生理学	48	3
艺体塑形	32	1
人与环境	48	3
《庄子》智慧与中国文化	48	3
全球变化下的自然和生态	32	2
攀岩	32	1
射箭	32	1
室内设计原理	32	2
数字信号处理与分析	64	4
中国现代文学	48	3
强化英语（1）	48	3
交通环境工程	32	2
日语写作（3）	32	2
数据库技术	48	3
生物医学工程导论	32	2
问题求解实践(1)	48	3
园林植物综合实验2	32	1
政治经济学	32	2
物理化学	48	3
分析化学（1）	32	2
大数据分析	48	3
中国历史	48	3
材料综合实验（1）	64	2
遗传学实验	32	1
生物化学实验	48	1.5
无机与分析化学	64	4
政治学原理	48	3
无机化学1	48	3
力学基础（荣誉）	64	4
无机化学	64	4
法学导论	32	2
设计导论	32	2
全球视野中的中国历史	45	3
分子生物学（F类）	64	4
环境工程学	32	2
量子力学导论	48	3
中国概况（B类）	32	2
生物学导论（微观生物学）（A类）	64	4
化工原理实验(上)	64	2
力学创新实验	56	2
公司金融学	48	3
高级科技写作与交流	28	2
微积分（1）	60	4
大学化学（J类）	56	4
化工原理基础	64	4
机电一体化系统设计	42	3
代数拓扑	48	3
微机原理	48	3
强化物理（J类）（2）	56	4
生物医学传感器	32	2
中国商务文化	32	2
中国民俗	32	2
法律社会学	32	2
控制系统分析与设计	42	3
计算机导论	64	4
工程热力学（J类）（1）	42	3
先进制造技术	32	2
科学研究与创新实践（荣誉）	32	2
德语国家国情学	32	2
信息安全综合实践	48	3
回归分析与线性模型	48	3
中国文学史（1）	64	4
高等数学A1	56	4
新闻学导论（A类）	32	2
植物检疫学	32	2
结构与造型	16	1
医用物理学（A类）	64	4
高分子化学	64	4
民法总论	48	3
英语语言学概论	32	2
细胞生物学（B类）	48	3
自然科学基础	32	2
化学实验安全	16	1
中国音乐文化史	32	2
数字电子技术实验	16	1
数据结构	48	3
数学分析I	96	6
物理化学（1）	64	4
通信原理	80	5
有机化学（1）	64	4
政府规制	32	2
计算机图形学	48	3
生物医用材料	48	3
心理与行为	32	2
大学化学	60	4
医学伦理学与医患沟通技巧	32	2
社会学原理（A类）	48	3
新媒体导论	32	2
物理学实验导论	32	2
植物育种学	48	3
大学物理（D类）（1）	32	2
现代汉语（B类）（1）	64	4
云计算技术	48	3
机器学习	48	3
专业实习(核工程与核科学)	96	3
生物技术综合实验	64	2
激光原理与技术	32	2
量子场论	48	3
临床药理学	32	2
食品化学实验	48	1.5
金融汉语综合（1）	64	4
科学哲学	48	3
汉语视听（1）	64	4
算法原理	48	3
智能机器人	32	2
电子商务（B类）	32	2
系统设计与开发大型课程设计（系统软件）	48	3
材料连接方法与设备	48	3
组织修复用智能材料和技术	32	2
生物医学图像处理(1)	32	2
西方思想经典选读	64	4
EHS与可持续发展领导力	32	2
电气系统综合实验	64	2
医学影像学	32	2
电机设计	32	2
基因工程实验	32	1
生物医学工程课程设计	64	2
中级汉语口语（1）	64	4
论文写作	32	2
机器学习与知识发现	48	3
数字信号处理	48	3
药物设计与开发Ⅰ（中药及化学药）	32	2
微波遥感技术	32	2
计算机组成	32	2
大学物理导论	32	2
微分几何	64	4
偏微分方程	48	3
高等数学II	64	4
普通生物学	32	2
天文研究实践 III	16	1
细胞生物学	32	2
大学物理(A类）（1）	64	4
系统设计中的人为因素	32	2
燃烧学	48	3
影视剪辑	32	2
科学技术史	32	2
文化产业管理概论	32	2
光学	48	3
物理研究实践I	16	1
热力学与统计物理	64	4
高分子科学导论	16	1
数字图像处理	48	3
网络优化	48	3
磁共振成像原理及应用	32	2
中文报刊阅读	32	2
传媒翻译	32	2
微观经济学（C类）	48	3
电力电子技术基础	48	3
电磁场数值计算	32	2
临床药学	32	2
自动控制原理A	64	4
翻译理论与实践	32	2
计算机组成与系统结构	32	2
中国近现代史纲要	48	3
大学化学实验	16	1
形势与政策	8.5
大学英语（3）	48	3
毛泽东思想和中国特色社会主义理论体系概论	48	3
医用有机化学(C类)	60	3.5
汉语一（下）	32	2
实用法语听说（1）	32	2
认知实习	128	4
工程物理与化学基础（2）	96	6
工程流体动力学与传热	64	4
高级德语（1）	64	4
德语练习（1）	32	4
数值分析	45	3
汉语二（下）	30	2
离散数学（J类）	56	4
逻辑设计导论	56	4
材料试验I	45	3
思想政治与通识教育（1）	16	1
德语高级口译	32	2
代数数论	48	3
汉语二（上）	30	2
中国文化概论	28	2
电力系统潮流计算机分析	32	2
高阶概率统计方法	32	2
信息光子学	32	2
工程力学（1-理论力学部分）	45	2.5
智能芯片制造与电子材料基础	48	3
英语读写（3）	64	4
神经语言学	32	2
MATLAB编程与建模	32	2
日语写作（4）	32	2
材料热力学	60	4
数学建模与数学实验	48	3
最优化方法	48	3
复变函数续论	48	3
设计与制造Ⅱ	64	4
离散数学（荣誉）	48	3
免疫学讨论课	32	2
神经生物学	64	4
生物化学（D类）实验	32	2
科技实习与创新－生物技术（2）	32	1
生物化学讨论课	32	2
数据结构（荣誉）	48	3
积分、级数与傅里叶分析	96	6
有机化学实验	64	4
物理化学(1)	64	4
反不正当竞争法	32	2
材料科学基础（1）	48	3
中外新闻传播史	32	2
商标法	32	2
塑性成形装备与自动化	32	2
物理学实验（2）	24	1.5
计算复杂性	48	3
基础物理实验（荣誉）（2）	24	1
公共管理名著选读	48	3
中国文化概要	32	2
程序设计思想与方法（C）	48	3
科学研究实践	160	10
著作权法	32	2
视听语言	32	2
生物工程设备与设计	48	3
细胞生物学实验	32	1
科研能力培养（5）	64	2
仪器分析实验	48	1.5
德语（2）	30	2
有机化学实验（1）	64	2
电动力学（B类）	64	4
免疫学	64	4
细胞生物学讨论课	32	2
大学物理（2）	64	4
普通物理（2）	64	4
植物生理学实验	32	1
食品发酵	32	2
数学规划	48	3
德语口语（3）	32	2
物理学引论（荣誉）II	80	5
量子力学II	64	4
空气动力学（2）	48	3
材料连接原理及工艺	48	3
电动力学	80	5
生物物理	48	3
物理研究实践III	16	1
认识实习与社会实践（经管类）	32	2
人工智能和医学工程	32	2
移动通信与编程	32	2
全媒体采访与报道	32	2
天文研究实践 I	16	1
城市地下空间规划与实例	32	1
食品物性学	32	2
日语写作（1）	32	2
土木工程计算机辅助设计	32	1
土力学与基础工程	64	4
汉语一（上）	32	2
汉语三（上）	30	2
汉语三（下）	30	2
数学分析（荣誉）III	64	4
代数几何	48	3
机械设计基础	48	3
近代亚洲史：殖民主义、反殖民主义与国家的形成	56	4
普通物理实验（2）	14	1
电磁学（J类）（1）	56	4
综合实践项目	64	4
工程物理与化学基础（1）	64	4
多媒体通信系统与实现	32	2
工程实践与科技创新Ⅲ-B	32	2
建设法规	16	1
工程图学（3）	48	3
拓扑学基础	48	3
有机合成	48	3
液相物理化学	48	3
法语写作（1）	32	2
工程师文化（2）	16	1
高级法汉互译	32	2
工程导论	64	4
日语精读（7）	32	2
模拟集成电路设计	48	3
生命科学导论实验（A类）	16	1
普通生物学实验	32	1
电气传动综合实验	64	2
超材料与新概念天线	32	2
英语读写（4）	64	4
大学物理（C类）（2）	48	3
计算流体力学	45	3
国际投资学	48	3
环境化学（A类）	32	2
基础日语（2）	32	2
电工与电子技术（B类）	48	3
建筑与城市的可持续发展	48	3
程序设计(A类)	80	5
微纳材料的跨尺度计算	16	1
张量分析基础	32	2
法语写作	48	3
无机与分析化学实验（拔尖-强基）	64	2
音乐分析与配器法	32	2
习近平新时代中国特色社会主义思想概论	48	3
先进集成电路制造与材料	32	2
细胞工程力学前沿	16	1
日语精读（2）	96	6
伦理学	48	3
高等代数（荣誉）I	80	5
医用基础化学(A类)	85	5
物理实验导论	32	2
微积分基础	64	4
学子讲坛（1）	32	2
影视精品赏析（1）	32	2
无机与分析化学实验	48	1.5
数学分析（荣誉）I	96	6
工程经济学	32	2
大学医科数学（A类）（1）	64	4
高等数学I	96	6
历史学的理论与方法	48	3
医用化学（B类）	34	2
专业讨论课	32	2
钢琴演奏基础	32	2
电机学（下）	32	2
合同法	32	2
初级法语语法（1）	96	6
计算机科学的伟大思想	32	2
初级综合法语（1）-B	48	3
世界近现代史	48	3
基础日语（1）	32	2
海洋声学基础与运用	48	3
材料和器件的自组装	48	3
材料智能设计与制备加工	32	2
电磁学基础	64	4
现代分析方法	64	4
应用系统体系架构	64	4
视唱练耳	32	2
法语视听说2	48	3
量子力学I（B类）	64	4
实测天体物理	48	3
"实验固体力学"	48	3
公司治理	32	2
税务学	32	2
行书、草书、篆刻	32	2
海底岩石学	48	3
梅兰竹菊与创作	32	2
强化学习	32	2
明清山水	32	2
日语精读（4）	96	6
生物地球化学	48	3
海洋藻类学	48	3
工程与社会	32	2
海洋保护与可持续发展	48	3
数学分析原理	48	3
基础德语（2）	96	6
生物化学	48	3
数据库原理	48	3
地球物理	48	3
白描摹写与写生	32	2
数据挖掘	32	2
消费者行为	32	2
高级财务会计	32	2
市场营销	32	2
医用基础化学(D类)	51	3
基础法语-2	48	3
算法交易和量化投资	32	2
高分子物理	64	4
二手数据采集和分析	16	1
固定收益证券分析	32	2
线性优化与凸优化	48	3
流体力学（C类）（2）	48	3
预科物理（1）	64	4
知识论	32	2
工程热力学	48	3
比较政治经济学	48	3
解剖与生理	32	2
历史地理学概念	48	3
生物工程综合实验	64	2
中国文学史（3）	64	4
生存分析	48	3
宪法（A类）	48	3
采购和供应管理	32	2
结构试验	32	2
资产定价实证	48	3
管理会计	32	2
谈判与冲突管理	32	2
财务信息列报与披露	48	3
生物力学	32	2
公共经济学	48	3
离散数学	48	3
传热学	48	3
初级汉语（2）	64	4
当代中国	32	2
城乡规划原理	32	2
化工专业实验	96	3
塑性成形及数字化制造课程设计	32	1
表面复合材料	32	2
工程实践与科技创新III-H	32	2
航空航天实验I	32	2
计算导论	64	4
流场测量理论与技术	42	2
当代译学研究	32	2
计算机辅助手术与治疗技术	32	2
增强学习	32	2
学子讲坛（3）	32	2
问题求解实践(2)	48	3
初级综合法语（1）-A	96	6
创新思维与现代设计（荣誉）	48	3
前沿探索实验课程	16	1
市场营销学（B类）	48	3
地球生物学	48	3
建模与优化	32	2
会计学	48	3
人才激励	32	2
高级汉语演讲（1）	32	2
初级汉语（1）	64	4
高级汉语阅读（1）	32	2
大学物理（B类）（2）	64	4
材料工程导论	32	2
高层建筑结构设计	32	1
大跨空间结构设计	32	1
计算流体力学基础	48	3
跨文化交际学	32	2
工业设计史	16	1
海洋工程环境载荷与水动力性能	32	2
日语视听说（5）	32	2
互联网与新媒体发展案例研究	32	2
复合材料设计原理与力学	32	2
金属材料强韧化及组织调控	48	3
分子生态学	32	2
